Independent,P-Value,Relationship,DepPos,Dependent,Hypothesis ID,Supported,Mediator/Moderator,IndPos,Relationship ID,MidPos,Type,Source ID
25527,,,"(300, -2)",25531,6812-2b,1,54098,"(-300, 34)",1701,"(-200, -184)",Moderator,6812
25528,,,"(300, -2)",25531,6812-2b,1,54098,"(-300, 105)",1702,"(-200, -184)",Moderator,6812
25526,,,"(300, -126)",25529,6812-2c,1,54099,"(-300, -37)",1703,"(-200, 5)",Moderator,6812
25527,,,"(300, -126)",25529,6812-2c,1,54099,"(-300, 34)",1704,"(-200, 5)",Moderator,6812
25528,,,"(300, -126)",25529,6812-2c,1,54099,"(-300, 105)",1705,"(-200, 5)",Moderator,6812
25526,,,"(300, -64)",25530,6812-2c,1,54099,"(-300, -37)",1706,"(-200, 5)",Moderator,6812
25527,,,"(300, -64)",25530,6812-2c,1,54099,"(-300, 34)",1707,"(-200, 5)",Moderator,6812
25528,,,"(300, -64)",25530,6812-2c,1,54099,"(-300, 105)",1708,"(-200, 5)",Moderator,6812
25526,,,"(300, -2)",25531,6812-2c,1,54099,"(-300, -37)",1709,"(-200, 5)",Moderator,6812
25527,,,"(300, -2)",25531,6812-2c,1,54099,"(-300, 34)",1710,"(-200, 5)",Moderator,6812
25528,,,"(300, -2)",25531,6812-2c,1,54099,"(-300, 105)",1711,"(-200, 5)",Moderator,6812
54100,.05,,"(300, -126)",25529,6812-3,1,,"(-300, -188)",1712,,Regular,6812
54100,.05,,"(300, -64)",25530,6812-3,1,,"(-300, -188)",1713,,Regular,6812
54100,.05,,"(300, -2)",25531,6812-3,1,,"(-300, -188)",1714,,Regular,6812
61348,,,"(300, -126)",25529,6812-4a,1,,"(-300, -126)",1715,,Regular,6812
61349,.001,,"(300, -64)",25530,6812-4b,1,,"(-300, -64)",1716,,Regular,6812
61350,.001,,"(300, -2)",25531,6812-4c,1,,"(-300, -2)",1717,,Regular,6812
25467,.001,Positive Effect,"(-300, -250)",25464,6814-1a,1,,"(-300, 0)",1718,,Regular,6814
25464,.01,Positive Effect,,25464,6814-1b,1,,"(-300, -250)",1719,,Regular,6814
25467,.001,Positive Effect,"(300, 0)",25468,6814-1c,1,,"(-300, 0)",1720,,Regular,6814
25465,.05,Effect,"(300, -84)",25472,6814-2a,1,25464,"(-300, 82)",1721,"(-300, -250)",Moderator,6814
25465,.01,Effect,"(300, -84)",25472,6814-2b,1,25464,"(-300, 82)",1722,"(-300, -250)",Moderator,6814
25465,.01,Effect,"(300, 82)",25473,6814-2c,1,25464,"(-300, 82)",1723,"(-300, -250)",Moderator,6814
25464,,Negative Effect,"(300, -250)",25466,6814-2d,1,,"(-300, -250)",1724,,Regular,6814
24853,.001,Negative Effect,"(300, 82)",24846,6815-1,1,,"(-300, -250)",1725,,Regular,6815
24853,.001,Positive Effect,"(300, 82)",24846,6815-2,1,,"(-300, -250)",1726,,Regular,6815
24846,.01,Negative Effect,"(300, -250)",24847,6815-3,1,,"(300, 82)",1727,,Regular,6815
24846,.001,Positive Effect,"(300, -125)",24848,6815-4,1,,"(300, 82)",1728,,Regular,6815
24847,.001,Negative Effect,"(300, -125)",24848,6815-5,1,,"(300, -250)",1729,,Regular,6815
51618,.01,Negative Effect,"(300, 82)",24846,6815-6,1,,"(-300, -125)",1730,,Regular,6815
51618,.001,Positive Effect,"(300, -250)",24847,6815-7,1,,"(-300, -125)",1731,,Regular,6815
51618,.01,Negative Effect,"(300, -125)",24848,6815-8,1,,"(-300, -125)",1732,,Regular,6815
24866,.001,Positive Effect,"(300, -250)",24870,6816-1,1,,"(-300, -250)",1733,,Regular,6816
24871,.01,Positive Effect,"(300, -250)",24870,6816-2,1,,"(-300, -250)",1734,,Regular,6816
24892,.05,Positive Effect,"(300, -250)",24895,6817-1,1,24891,"(-300, -250)",1735,"(-200, -350)",Moderator,6817
24907,.01,Negative Effect,"(-300, 0)",24903,6819-1a,1,,"(-300, -250)",1736,,Regular,6819
24907,,Negative Effect,"(-300, 125)",24904,6819-1b,1,,"(-300, -250)",1737,,Regular,6819
24907,.01,Negative Effect,"(300, 125)",24905,6819-2a,1,,"(-300, -250)",1738,,Regular,6819
24907,.01,Negative Effect,"(300, -125)",24906,6819-2b,1,,"(-300, -250)",1739,,Regular,6819
51274,.01,Negative Effect,"(-300, 0)",24903,6819-3a,1,,"(-300, -125)",1740,,Regular,6819
51274,,Negative Effect,"(-300, 125)",24904,6819-3b,1,,"(-300, -125)",1741,,Regular,6819
51274,,Negative Effect,"(300, 125)",24905,6819-4a,1,,"(-300, -125)",1742,,Regular,6819
51274,,Negative Effect,"(300, -125)",24906,6819-4b,1,,"(-300, -125)",1743,,Regular,6819
24903,.01,Negative Effect,"(300, 125)",24905,6819-5a,1,,"(-300, 0)",1744,,Regular,6819
24904,.01,Positive Effect,"(300, 125)",24905,6819-5b,1,,"(-300, 125)",1745,,Regular,6819
24910,.05,,"(300, 82)",24909,6820-1,1,,"(-300, -250)",1746,,Regular,6820
24910,,,"(300, 82)",24909,6820-2,1,,"(-300, -250)",1747,,Regular,6820
24911,,,"(300, 82)",24909,6820-2,1,,"(-300, 0)",1748,,Regular,6820
24912,,,"(300, 82)",24909,6820-2,1,,"(-300, -250)",1749,,Regular,6820
24913,,,"(300, 82)",24909,6820-2,1,,"(-300, -84)",1750,,Regular,6820
24914,,,"(300, 82)",24909,6820-2,1,,"(-300, 82)",1751,,Regular,6820
51267,.01,Positive Effect,"(300, -50)",24923,6821-1,1,,"(-300, -250)",1752,,Regular,6821
51268,.01,Positive Effect,"(300, -50)",24923,6821-1,1,,"(-300, 165)",1753,,Regular,6821
51267,.01,Positive Effect,"(300, -250)",51270,6821-1,1,,"(-300, -250)",1754,,Regular,6821
51268,.01,Positive Effect,"(300, -250)",51270,6821-1,1,,"(-300, 165)",1755,,Regular,6821
51267,.01,Positive Effect,"(300, 82)",51272,6821-1,1,,"(-300, -250)",1756,,Regular,6821
51268,.01,Positive Effect,"(300, 82)",51272,6821-1,1,,"(-300, 165)",1757,,Regular,6821
51267,.01,Positive Effect,"(300, 50)",24924,6821-2,1,,"(-300, -250)",1758,,Regular,6821
51268,.01,Positive Effect,"(300, 50)",24924,6821-2,1,,"(-300, 165)",1759,,Regular,6821
51267,.01,Positive Effect,"(300, -250)",51271,6821-2,1,,"(-300, -250)",1760,,Regular,6821
51268,.01,Positive Effect,"(300, -250)",51271,6821-2,1,,"(-300, 165)",1761,,Regular,6821
24919,.01,Effect,"(300, -250)",24922,6821-3,1,,"(-300, 50)",1762,,Regular,6821
24919,.01,Effect,"(300, -50)",24923,6821-4,1,,"(-300, 50)",1763,,Regular,6821
24919,,Effect,"(300, -50)",24923,6821-5,1,,"(-300, 50)",1764,,Regular,6821
24919,,No Effect,"(300, 50)",24924,6821-6,1,,"(-300, 50)",1765,,Regular,6821
24920,.01,Positive Effect,"(300, 150)",51269,6821-7,1,,"(-300, -84)",1766,,Regular,6821
24920,.1,No Effect,"(300, 82)",51272,6821-8,1,,"(-300, -84)",1767,,Regular,6821
24920,,Positive Effect,"(300, 82)",51272,6821-9,1,,"(-300, -84)",1768,,Regular,6821
24920,.1,No Effect,"(300, -250)",51271,6821-0,1,,"(-300, -84)",1769,,Regular,6821
51268,.01,Effect,"(300, 82)",51272,6821-1,1,24921,"(-300, 165)",1770,"(-200, -350)",Moderator,6821
51267,.01,Effect,"(300, 82)",51272,6821-1,1,24921,"(-300, -250)",1771,"(-200, -350)",Moderator,6821
51268,.01,Effect,"(300, -250)",51271,6821-2,1,24921,"(-300, 165)",1772,"(-200, -350)",Moderator,6821
51267,.01,Effect,"(300, -250)",51271,6821-2,1,24921,"(-300, -250)",1773,"(-200, -350)",Moderator,6821
24928,.01,Positive Effect,"(300, 165)",24927,6822-1,1,,"(-300, -250)",1774,,Regular,6822
