"cost_level","ADM_RATE","SATMTMID","LOCALE","region","GRAD_DEBT_MDN","C150_4","SATVRMID","PFTFAC","md_earn_wne_p8","UGDS","COSTT4_A","ROI","AVG_INC","Major_Cluster"
"Low",0.6571039413845394,531.1777777777778,"Town:Distant","Southeast",9153.0,0.4732235186873289,523.5020210185934,0.6168,25000.0,2204.0,10662.0,2.34477583942975,27813.67513,"Specialized"
"Low",0.68,430.0,"City:Midsize","Southeast",32495.0,0.3115,435.0,0.5595,23400.0,728.0,20107.0,1.16377381011588,30056.53874,"Comprehensive"
"Low",0.6571039413845394,531.1777777777778,"Rural:Fringe","Southeast",18765.904755244756,0.4732235186873289,523.5020210185934,0.6186,18900.0,1110.0,15921.0,1.18711136235161,18040.92584,"Specialized"
"Low",0.6571039413845394,531.1777777777778,"City:Small","Southeast",8829.0,0.4732235186873289,523.5020210185934,0.3858,22400.0,1686.0,12639.0,1.7722921117177,20733.93777,"Specialized"
"Low",0.6571039413845394,531.1777777777778,"City:Small","Southeast",20000.0,0.4732235186873289,523.5020210185934,0.3405,25500.0,10909.0,13677.0,1.86444395700812,23405.71608,"Specialized"
"Low",0.6571039413845394,531.1777777777778,"Town:Distant","Southeast",4500.0,0.4732235186873289,523.5020210185934,0.5606,21100.0,1165.0,12160.0,1.73519736842105,19666.94006,"Specialized"
"Low",0.6571039413845394,531.1777777777778,"Town:Remote","Southeast",18765.904755244756,0.4732235186873289,523.5020210185934,0.2469,19600.0,674.0,9754.0,2.009432027886,21512.73002,"Specialized"
"Low",0.585,531.1777777777778,"Rural:Distant","Southeast",19158.0,0.3571,523.5020210185934,0.9677,28400.0,541.0,20545.0,1.38233146751034,45238.86478,"Professional"
"Low",0.6571039413845394,531.1777777777778,"Town:Remote","Southeast",11044.5,0.4732235186873289,523.5020210185934,0.5169,25300.0,1429.0,12823.0,1.97301723465648,25294.04352,"Specialized"
"Low",0.6687,530.0,"Town:Remote","Southeast",16750.0,0.328,485.0,0.9467,31700.0,2682.0,16466.0,1.92517915705089,38955.86121,"Comprehensive"
"Low",0.6571039413845394,531.1777777777778,"Rural:Distant","Southeast",7123.0,0.4732235186873289,523.5020210185934,0.5397,24100.0,986.0,13779.0,1.74903839175557,27793.48883,"Specialized"
"Low",0.559,525.0,"City:Small","Southeast",17000.0,0.185,505.0,0.5379,28400.0,6817.0,14353.0,1.9786804152442,34124.37588,"Comprehensive"
"High",0.6571039413845394,531.1777777777778,"City:Large","Far West",31813.0,0.3358,523.5020210185934,0.1689,34200.0,11735.0,34399.0,0.994214948108957,45529.21216,"Specialized"
"High",0.7669,531.1777777777778,"City:Small","Far West",12500.0,0.3714,523.5020210185934,0.1519,35100.0,660.0,25652.0,1.3683143614533,26162.33494,"Professional"
"Low",0.6571039413845394,531.1777777777778,"Suburb:Large","Far West",18765.904755244756,0.4732235186873289,523.5020210185934,0.3333,29000.0,5168.0,10977.0,2.64188758312836,16795.65184,"Specialized"
"Low",0.6571039413845394,531.1777777777778,"City:Midsize","Far West",18765.904755244756,0.4732235186873289,523.5020210185934,0.2653,26800.0,9750.0,9493.0,2.82313283472032,24283.50659,"Specialized"
"High",0.4582,531.1777777777778,"City:Large","Far West",12500.0,0.4732235186873289,523.5020210185934,0.2195,26100.0,195.0,37393.0,0.697991602706389,54962.88651,"Specialized"
"Low",0.6571039413845394,531.1777777777778,"Suburb:Large","Far West",15636.0,0.4732235186873289,523.5020210185934,0.3943,26700.0,29355.0,11078.0,2.41018234338328,16546.93723,"Specialized"
"Low",0.6571039413845394,531.1777777777778,"Suburb:Large","Far West",13875.0,0.4732235186873289,523.5020210185934,0.3099,25200.0,12342.0,11744.0,2.14577656675749,16955.83059,"Specialized"
"High",0.6321,531.1777777777778,"City:Midsize","Far West",36998.5,0.5443,523.5020210185934,0.25,48400.0,1642.0,54019.0,0.895981043706844,53173.26665,"Specialized"
"High",0.5063,545.0,"Suburb:Large","Far West",21969.0,0.6339,550.0,0.3512,45800.0,5998.0,41514.0,1.10324227971287,77648.15301,"Comprehensive"
"Low",0.6571039413845394,531.1777777777778,"City:Large","Far West",13074.0,0.4732235186873289,523.5020210185934,0.5082,24900.0,15787.0,7966.0,3.12578458448406,19386.34171,"Specialized"
"Low",0.6571039413845394,531.1777777777778,"Town:Distant","Far West",18765.904755244756,0.4732235186873289,523.5020210185934,0.2908,27600.0,1714.0,14384.0,1.91879866518354,16153.43284,"Specialized"
"High",0.7668,560.0,"Suburb:Large","Far West",21687.5,0.7119,560.0,0.9838,37600.0,4232.0,41843.0,0.898597136916569,87554.14825,"Comprehensive"
"High",0.9833,531.1777777777778,"City:Small","Far West",30582.5,0.451,523.5020210185934,0.3377,26500.0,746.0,34322.0,0.772099527999534,68397.09935,"Specialized"
"High",0.6571039413845394,531.1777777777778,"City:Large","Far West",19075.0,0.4732235186873289,523.5020210185934,0.6308,35300.0,994.0,24617.0,1.43396839582402,32392.61272,"Specialized"
