"","cost_level","ADM_RATE","SATMTMID","LOCALE","region","GRAD_DEBT_MDN","C150_4","SATVRMID","PFTFAC","md_earn_wne_p8","UGDS","COSTT4_A","ROI","AVG_INC","Major_Cluster"
"42","Low",NA,NA,"City:Midsize","Southeast",NA,NA,NA,0.4378,19200,3397,8731,2.19906081777574,15877.34585,"Specialized"
"43","High",0.8258,585,"Suburb:Large","Southeast",20834,0.7024,570,0.6423,41400,2927,34371,1.20450379680545,96826.48065,"Comprehensive"
"44","Low",NA,NA,"City:Small","Southeast",NA,NA,NA,0.3129,22400,5077,12401,1.80630594306911,19222.41568,"Specialized"
"45","Low",NA,NA,"Town:Distant","Southeast",NA,NA,NA,0.2787,25000,2170,8923,2.80174829093354,23930.18819,"Specialized"
"46","Low",0.8726,490,"City:Midsize","Southeast",22500,0.3823,503,0.9632,34400,11403,13746,2.5025461952568,48917.4727,"Comprehensive"
"47","High",0.4854,529,"City:Midsize","Southeast",25000,0.6095,557,0.6614,37500,1254,40233,0.932070688240996,75874.84072,"Comprehensive"
"48","Low",1,525,"Suburb:Large","Southeast",26337.5,0.2941,420,0.3333,27200,174,18509,1.46955535145065,34325.04834,"Specialized"
"49","High",0.4647,448,"City:Small","Southeast",30750,0.3447,410,0.8852,23200,1072,24615,0.942514726792606,34426.35048,"Comprehensive"
"50","Low",NA,NA,"Town:Distant","Southeast",22920,0.2,NA,1,19600,712,20622,0.950441276306857,22533.37657,"Comprehensive"
"51","Low",NA,NA,"City:Midsize","Southeast",NA,NA,NA,0.5149,22300,1666,10474,2.12908153523009,17427.33558,"Specialized"
"52","Low",0.7147,NA,"Rural:Fringe","Southeast",25000,0.318,NA,0.4142,33800,20391,16024,2.10933599600599,35573.70733,"Comprehensive"
"53","High",0.641,444,"Town:Distant","Southeast",29000,0.4301,450,0.9063,30800,2683,30034,1.02550442831458,47883.6078,"Comprehensive"
"54","Low",NA,NA,"Town:Distant","Southeast",NA,NA,NA,0.2556,24700,3874,13284,1.85937970490816,19451.01668,"Specialized"
"55","Low",NA,NA,"City:Large","Far West",20100,0.2562,NA,0.8444,39800,13326,14278,2.78750525283653,46316.48533,"Comprehensive"
"56","Low",NA,NA,"Suburb:Small","Far West",18000,0.2632,NA,0.8747,34300,5954,15070,2.27604512276045,47035.70043,"Comprehensive"
"57","Low",NA,NA,"Town:Remote","Far West",17334,0.2125,NA,0.8509,35800,1662,13554,2.64128670503173,46251.48341,"Comprehensive"
"58","High",0.3261,515,"City:Large","Far West",23000,0.4615,545,0.9434,38000,412,39710,0.956937799043062,58249.83438,"Professional"
"59","Low",NA,NA,"City:Large","Far West",14414,0.9375,NA,0.2375,34100,1651,23187,1.47065165825678,24632.05231,"Professional"
"60","Low",NA,NA,"Rural:Remote","Far West",20100,NA,NA,0.8889,39800,154,11549,3.44618581695385,46316.48533,"Specialized"
"61","High",NA,NA,"City:Large","Southwest",16111,0.4123,NA,0.44,27600,2254,30946,0.891876171395334,16062.49254,"Professional"
"62","High",NA,NA,"City:Large","Southwest",31000,0.4066,NA,0.2054,24100,892,29875,0.806694560669456,27211.82211,"Specialized"
"63","High",NA,NA,"City:Small","Southwest",24348.5,0.6069,NA,0.2632,21300,284,25339,0.84060144441375,17285.78463,"Professional"
